customer_id,Recency,Frequency,Monetary,Customer_Tier,Avg_Discount,Favorite_Category
C1001,11,10,230842.59000000003,Gold,12.7,Fashion
C1002,50,10,240213.74,Silver,14.8,Beauty
C1003,41,5,65056.69,Gold,15.4,Beauty
C1004,2,11,432174.79,Gold,13.363636363636363,Fashion
C1005,11,6,53529.16,Platinum,14.5,Fashion
C1006,90,9,231331.44,Silver,14.11111111111111,Fashion
C1007,66,9,400958.49,Gold,13.222222222222221,Electronics
C1008,76,10,129272.9,Platinum,15.4,Fashion
C1009,5,12,365033.39999999997,Silver,17.25,Groceries
C1010,3,4,56228.7,Gold,13.0,Electronics
C1011,64,9,332775.05,Gold,13.0,Home Decor
C1012,95,6,300395.87,Silver,10.333333333333334,Beauty
C1013,11,14,215609.96,Platinum,17.0,Fashion
C1014,1,8,244058.8,Gold,18.125,Beauty
C1015,68,10,61635.74,Silver,11.0,Beauty
C1016,55,11,128894.87,Gold,15.818181818181818,Groceries
C1017,30,5,418142.5,Platinum,15.4,Electronics
C1018,16,10,204170.27,Gold,17.4,Beauty
C1019,81,6,265073.98,Platinum,17.333333333333332,Electronics
C1020,16,9,84890.32,Silver,13.666666666666666,Beauty
C1021,38,9,208316.57,Silver,11.222222222222221,Groceries
C1022,94,6,139305.93,Silver,16.666666666666668,Home Decor
C1023,44,18,712653.84,Silver,14.777777777777779,Groceries
C1024,16,15,505522.18,Silver,15.533333333333333,Home Decor
C1025,152,7,372267.06,Gold,19.0,Electronics
C1026,93,8,260106.41999999998,Platinum,15.75,Electronics
C1027,33,13,220058.32,Platinum,14.307692307692308,Beauty
C1028,40,9,149751.75,Platinum,8.555555555555555,Fashion
C1029,16,12,184290.90000000002,Gold,15.666666666666666,Home Decor
C1030,31,18,368521.65,Silver,18.055555555555557,Groceries
C1031,84,12,715622.76,Platinum,11.166666666666666,Electronics
C1032,16,11,423817.14,Silver,10.818181818181818,Electronics
C1033,20,12,179910.71,Gold,16.166666666666668,Fashion
C1034,54,12,226139.28,Silver,20.416666666666668,Groceries
C1035,29,14,200420.42,Gold,15.357142857142858,Beauty
C1036,4,11,213910.98,Gold,14.272727272727273,Home Decor
C1037,1,18,290390.26,Platinum,18.833333333333332,Beauty
C1038,3,7,78239.29000000001,Gold,15.714285714285714,Beauty
C1039,42,16,213866.71,Platinum,15.9375,Fashion
C1040,17,14,586494.59,Gold,15.357142857142858,Electronics
C1041,31,12,372660.23,Platinum,13.833333333333334,Electronics
C1042,156,8,76041.2,Platinum,9.5,Sports
C1043,27,11,227465.64,Platinum,16.545454545454547,Home Decor
C1044,25,16,223526.26,Silver,19.375,Fashion
C1045,1,11,359171.02,Platinum,10.909090909090908,Fashion
C1046,5,11,224252.1,Platinum,15.0,Home Decor
C1047,2,12,254061.5,Platinum,14.833333333333334,Fashion
C1048,0,10,299511.32,Platinum,13.2,Beauty
C1049,35,9,389676.73,Silver,14.666666666666666,Electronics
C1050,79,10,223682.41999999998,Gold,19.6,Beauty
C1051,1,10,259914.66,Gold,16.3,Sports
C1052,13,7,104817.76000000001,Gold,13.571428571428571,Electronics
C1053,63,14,253323.83000000002,Gold,16.142857142857142,Home Decor
C1054,21,10,118597.23,Platinum,15.7,Beauty
C1055,3,11,198994.80000000002,Gold,9.090909090909092,Sports
C1056,32,13,254903.87,Silver,13.615384615384615,Beauty
C1057,17,6,325012.14,Platinum,11.833333333333334,Fashion
C1058,11,5,67620.42,Platinum,13.0,Fashion
C1059,35,8,338020.92,Silver,15.25,Electronics
C1060,17,11,128362.42,Platinum,13.0,Beauty
C1061,26,11,257251.92,Gold,12.454545454545455,Groceries
C1062,18,12,142958.49,Silver,18.25,Fashion
C1063,46,6,202991.12,Gold,14.333333333333334,Electronics
C1064,169,6,232874.86000000002,Platinum,14.166666666666666,Groceries
C1065,22,9,81774.56,Gold,16.22222222222222,Home Decor
C1066,75,12,306375.03,Gold,13.0,Fashion
C1067,81,10,254849.95,Silver,14.6,Groceries
C1068,96,6,24301.879999999997,Silver,19.5,Groceries
C1069,7,7,168380.78,Platinum,13.571428571428571,Beauty
C1070,66,14,279535.62,Silver,19.5,Fashion
C1071,4,13,307197.12,Platinum,15.461538461538462,Beauty
C1072,17,11,361275.48,Gold,17.181818181818183,Groceries
C1073,46,9,550615.5800000001,Silver,14.11111111111111,Sports
C1074,70,13,470784.78,Platinum,14.76923076923077,Electronics
C1075,63,12,444282.68,Silver,17.25,Sports
C1076,112,4,50502.64,Gold,12.5,Groceries
C1077,136,8,268443.8,Gold,19.25,Beauty
C1078,22,7,140217.19,Silver,17.714285714285715,Home Decor
C1079,11,10,171342.26,Platinum,19.4,Beauty
C1080,140,6,68003.62,Platinum,21.166666666666668,Beauty
C1081,65,11,201657.34999999998,Gold,14.454545454545455,Sports
C1082,61,6,454567.92,Platinum,15.166666666666666,Electronics
C1083,8,8,471114.08,Platinum,15.5,Groceries
C1084,25,10,105219.26,Silver,15.9,Home Decor
C1085,56,9,483170.56,Silver,18.333333333333332,Electronics
C1086,9,8,391961.74,Platinum,15.625,Electronics
C1087,24,5,245538.85,Gold,16.0,Electronics
C1088,82,12,205552.32,Gold,12.083333333333334,Groceries
C1089,6,10,406228.51999999996,Gold,19.0,Fashion
C1090,6,7,426494.42,Silver,17.428571428571427,Electronics
C1091,4,12,626231.64,Platinum,10.166666666666666,Electronics
C1092,2,15,368899.16000000003,Silver,12.133333333333333,Groceries
C1093,11,10,138286.35,Platinum,6.1,Beauty
C1094,24,14,415165.11,Silver,11.5,Sports
C1095,44,14,398116.08,Platinum,15.071428571428571,Electronics
C1096,25,15,869505.53,Gold,11.133333333333333,Electronics
C1097,21,9,87462.67,Gold,18.555555555555557,Groceries
C1098,24,12,228833.95,Silver,17.25,Home Decor
C1099,61,7,116927.51999999999,Gold,15.571428571428571,Sports
C1100,4,10,263947.37,Silver,15.6,Home Decor
C1101,10,3,51044.899999999994,Gold,14.333333333333334,Groceries
C1102,109,8,225119.9,Silver,13.125,Home Decor
C1103,1,11,225523.64,Silver,13.545454545454545,Beauty
C1104,54,9,110616.95,Gold,13.555555555555555,Fashion
C1105,45,9,85135.74,Silver,16.333333333333332,Fashion
C1106,15,13,171548.06,Platinum,17.923076923076923,Sports
C1107,12,15,426694.19,Gold,13.866666666666667,Fashion
C1108,9,7,256621.77000000002,Gold,17.714285714285715,Groceries
C1109,101,12,256676.34,Platinum,18.333333333333332,Beauty
C1110,56,7,110359.94,Gold,18.285714285714285,Beauty
C1111,45,9,212055.15,Gold,16.666666666666668,Beauty
C1112,14,6,102128.95999999999,Platinum,13.833333333333334,Beauty
C1113,52,11,252420.47000000003,Gold,7.0,Sports
C1114,16,19,424047.82999999996,Gold,20.210526315789473,Fashion
C1115,25,7,201801.38999999998,Platinum,13.142857142857142,Groceries
C1116,62,7,121325.65,Silver,19.428571428571427,Groceries
C1117,31,9,155865.49,Silver,18.0,Sports
C1118,50,7,805586.76,Platinum,13.857142857142858,Electronics
C1119,71,10,258612.05000000002,Platinum,10.8,Beauty
C1120,3,8,527445.63,Silver,10.25,Electronics
C1121,50,11,396937.63,Platinum,15.636363636363637,Electronics
C1122,34,7,332039.72,Gold,17.428571428571427,Beauty
C1123,2,12,69838.9,Silver,15.416666666666666,Beauty
C1124,16,7,195062.79,Silver,7.571428571428571,Fashion
C1125,71,13,401175.35,Silver,17.692307692307693,Home Decor
C1126,8,14,482100.93000000005,Platinum,15.214285714285714,Beauty
C1127,20,10,68689.9,Silver,21.2,Sports
C1128,39,13,317124.04,Silver,18.923076923076923,Fashion
C1129,163,8,226653.47,Platinum,15.875,Fashion
C1130,1,7,45484.020000000004,Platinum,21.428571428571427,Beauty
C1131,25,11,327964.97000000003,Platinum,11.545454545454545,Fashion
C1132,15,8,332448.12,Platinum,14.25,Home Decor
C1133,121,12,589107.71,Gold,13.833333333333334,Electronics
C1134,20,5,33089.76,Silver,21.8,Fashion
C1135,9,8,268046.71,Gold,16.5,Electronics
C1136,15,14,394735.0,Platinum,13.0,Home Decor
C1137,72,8,456873.48,Platinum,12.0,Electronics
C1138,36,7,304409.25,Gold,14.142857142857142,Electronics
C1139,8,11,415741.9,Platinum,16.181818181818183,Fashion
C1140,87,12,177681.38999999998,Platinum,15.583333333333334,Groceries
C1141,19,9,276625.95,Gold,17.77777777777778,Groceries
C1142,0,16,321872.62,Gold,15.9375,Sports
C1143,42,11,478590.80999999994,Platinum,13.636363636363637,Beauty
C1144,12,14,269201.6,Gold,17.928571428571427,Electronics
C1145,18,13,277354.1,Gold,20.076923076923077,Beauty
C1146,8,13,463898.61,Platinum,12.461538461538462,Groceries
C1147,4,13,284624.32,Platinum,15.0,Beauty
C1148,50,4,116903.88,Platinum,18.5,Electronics
C1149,30,22,546033.57,Platinum,13.636363636363637,Fashion
C1150,61,12,468286.31,Platinum,15.333333333333334,Beauty
C1151,64,8,558380.96,Gold,10.375,Electronics
C1152,62,12,228390.93,Silver,14.416666666666666,Beauty
C1153,113,14,526824.95,Platinum,16.0,Electronics
C1154,2,4,141165.0,Silver,18.0,Beauty
C1155,13,12,490188.33,Gold,20.0,Beauty
C1156,43,6,378868.29,Gold,15.166666666666666,Beauty
C1157,36,9,203561.93000000002,Gold,12.444444444444445,Home Decor
C1158,102,8,202805.72999999998,Silver,12.375,Beauty
C1159,34,13,588280.21,Silver,12.23076923076923,Electronics
C1160,27,11,322308.98,Platinum,17.545454545454547,Sports
C1161,1,8,183607.24,Gold,19.0,Fashion
C1162,8,12,134985.62,Gold,15.833333333333334,Sports
C1163,37,9,627033.2,Silver,11.666666666666666,Electronics
C1164,30,10,112982.47,Silver,15.4,Groceries
C1165,15,10,102322.72,Gold,13.2,Beauty
C1166,49,10,357612.76,Gold,16.6,Electronics
C1167,59,7,194016.46,Silver,16.0,Sports
C1168,149,9,380161.31,Silver,14.333333333333334,Groceries
C1169,14,11,271063.58,Gold,13.636363636363637,Groceries
C1170,13,9,124727.01000000001,Silver,14.222222222222221,Beauty
C1171,3,13,360869.27,Platinum,16.384615384615383,Beauty
C1172,10,10,739554.61,Platinum,14.0,Beauty
C1173,65,12,213080.91,Platinum,19.0,Fashion
